Name,Category,Sub-Category,Price,Competitor Price,Color,Size,Stock,CARE,Texture,Finish,Feel,Quality,Notes,Important Note,Images,Project Images,Product URL
IVORY MIST,Closeouts,,$217.50,$304.50,IVORY,Approx 58 sq ft *Photo table is 5 ft wide,CLOSEOUT ITEM,STANDARD,PEBBLE,MEDIUM SHEEN,VERY SOFT,EXCELLENT,This is a beautiful leather at an excellent price.,"Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/1/_/1_52.jpg,,https://www.leatherhidestore.com/k1103-d-magic-mushroom-1.html
SOFT PEARL,Closeouts,,$234.85,$320.25,SOFT WHITE,Approx 61 sq ft *Photo table is 5 ft wide,CLOSEOUT ITEM,STANDARD,NATURAL,MEDIUM SHEEN,VERY SOFT,EXCELLENT,Soft Pearl is a beautiful leather at an excellent price.,"Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/1/_/1_44.jpg,,https://www.leatherhidestore.com/k1093-caffe-mocha-d-1.html
NEVADA SAND,Closeouts,,$209.00,$325.00,MEDIUM TAN,APPROX 52 sq ft *Photo table is 5 ft wide,CLOSEOUT ITEM,STANDARD,NATURAL,MEDIUM SHEEN,VERY SOFT,PREMIUM FULL GRAIN,Nevada Sand is a beautiful full grain leather at an exceptional price. GREAT DEAL!! Approx Weight 2.6 - 3.0 oz/sq ft. Approx Thickness 1.0 - 1.2 mm,"Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/k/1/k116_nevada_sand_c3.jpg,,https://www.leatherhidestore.com/k116-nevada-sand-leather-upholstery.html
INTO THE NIGHT,Closeouts,,$225.50,$357.50,2-TONE MIDNIGHT BLUE AND BLACK,APPROX 55 sq ft *Photo table is 5 ft wide,CLOSEOUT ITEM,STANDARD,NUBUCK,LOW SHEEN,NUBUCK / SUEDE,PREMIUM TOP GRAIN,"Into The Night is a very soft and lush nubuck leather. Nubuck is a top grain leather that has a slight nap that looks and feels like suede but is considerably stronger. Natural markings such as brands, bug bites, and scratches are to be anticipated and only enhance the natural beauty of the hide, creating a unique and rustic aesthetic. We are proud to offer this beautiful premium full-grain leather at a price anyone can afford. Approx Weight 2.6 - 3.0 oz / sq ft Approx Thickness 1.0 - 1.2 mm","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/k/1/k1019_into_the_night_c2.jpg,,https://www.leatherhidestore.com/k1019-into-the-night.html
ROCK 'N' ROLL RED,Closeouts,,$200.90,$318.50,VIBRANT RED,Approx 49 sq ft *Photo table is 5 ft wide,CLOSEOUT ITEM,STANDARD,NATURAL,SOFT GLOSS,VERY SOFT,EXCELLENT,"Rock 'N' Roll Red is a gorgeous leather that is sure to catch your eye with its vibrant red color. This hide is both soft and strong, the perfect balance of comfort and durability, making it ideal for high traffic uses. It's meant to be seen, admired, lived on and most of all enjoyed. When you think of high-quality leather that takes center stage think of Rock 'N' Roll Red. Order a sample today before these hides are gone so you can see and feel how the leather will work for your project. Approx Weight 2.6 - 3.0 oz / sq ft. Approx Thickness 1.0 - 1.2 mm","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/k/1/k1030_1.jpg,,https://www.leatherhidestore.com/k1030-rock-n-roll-red.html
BURNT ORANGE,Closeouts,,$206.25,$288.75,2-TONE BURNT ORANGE,APPROX 55 sq ft *Photo table is 5 ft wide,CLOSEOUT ITEM,STANDARD,PEBBLE,MEDIUM SHEEN,VERY SOFT,EXCELLENT,This is very nice leather at an excellent price! Approx Weight 2.6 - 3.0 oz / sq ft. Approx Thickness 1.0 - 1.2 mm,"Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/k/5/k577.jpg,,https://www.leatherhidestore.com/k577-burnt-orange.html
TOASTED ALMOND,Closeouts,,$189.00,$283.50,TOASTED TAN,APPROX 54 sq ft *Photo table is 5 ft wide,STOCK ITEM,STANDARD,PEBBLE,MEDIUM SHEEN,VERY SOFT,EXCELLENT,"Toasted Almond is very nice leather at a price anyone can afford. This leather is both soft and strong, the perfect balance of comfort and durability, making it ideal for high traffic uses. Its meant to be seen, admired, lived on and most of all enjoyed. Order a sample today before these hides are gone so you can see and feel how the leather will work for your project. Approx Weight 2.6 - 3.0 oz/sq.ft. Approx Thickness: 1.0-1.2 mm","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/k/1/k1961_toasted_almond_close_2.jpg,,https://www.leatherhidestore.com/k1961-toasted-almond-leather-upholstery.html
IVORY MIST,Closeouts,,$195.00,$273.00,IVORY,Approx 52 sq ft *Photo table is 5 ft wide,CLOSEOUT ITEM,STANDARD,PEBBLE,MEDIUM SHEEN,VERY SOFT,EXCELLENT,This is a beautiful leather at an excellent price.,"Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/1/_/1_52_1.jpg,,https://www.leatherhidestore.com/k1103-c-magic-mushroom-1.html
BEACHWOOD,Closeouts,,$225.50,$357.50,SOFT TAUPE,APPROX 55 sq ft *Photo table is 5 ft wide,CLOSEOUT ITEM,STANDARD,PEBBLE GRAIN,MEDIUM SHEEN,VERY SOFT,PREMIUM FULL GRAIN,"Beachwood is a very nice, heavyweight, premium full-grain leather that is both soft and strong, the perfect balance of comfort and durability, making it ideal for high traffic uses. It's meant to be seen, admired, lived on and most of all enjoyed. This is leather that will last for years to come and is available now at a price that anyone can afford. When you think of high-quality leather that takes centerstage, think of Beachwood! Order a sample today before these hides are gone. Approx Weight 3.0 - 3.5 oz / sq ft Approx Thickness 1.2 - 1.4 MM","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/k/8/k845_morning_fog_c1.jpg,,https://www.leatherhidestore.com/k845%20beachwood.html
BALLET SLIPPER,Closeouts,,$262.20,$384.75,SOFT PINK,APPROX. 57 sq ft *Photo table 5ft wide,CLOSEOUT ITEM,STANDARD,NATURAL MILL PEBBLE,MEDIUM SHEEN,SUPPLE AND SOFT,PREMIUM FULL GRAIN,"Ballet Slipper combines rich color, supple soft feel and a premium top grain cowhide into a leather that exudes luxury. Ballet Slipper is a slightly heavyweight upholstery hide that is extra plush. The grain is a natural mill pebble that has subtle variations across the hide as nature intended. While very soft, Ballet Slipper is also wear resistant and appropriate for everyday use. An exceptional leather at an exceptional price! Approx weight of hide: 3.5 oz/sq.ft. Approx thickness: 1.3-1.4 mm","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/b/a/ballet_slipper_c2_1.jpg,"https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg, https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg, https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg, https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg",https://www.leatherhidestore.com/k-459-ballet-slipper.html
